"ActivityDefinition.bodySite","ActivityDefinition.bodySite","","","",0,0,"","","","CodeableConcept {[]} {[]}
","What part of body to perform on","Indicates the sites on the subject's body where the procedure should be performed (I.e. the target sites).","Only used if not implicit in the code found in ServiceRequest.type.","Knowing where the procedure is made is important for tracking if multiple sites are possible.","","","","","","","",,"example","A code that identifies the anatomical location.","http://hl7.org/fhir/ValueSet/body-site","",,,,"ActivityDefinition.bodySite",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".targetSiteCode {for classCode=PROC, SBADM}"
"ActivityDefinition.specimenRequirement","ActivityDefinition.specimenRequirement","","","",0,0,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SpecimenDefinition]]}
","What specimens are required to perform this action","Defines specimen requirements for the action to be performed, such as required specimens for a lab test.","","Needed to represent lab order definitions.","","","","","","","",,,,,"",,,,"ActivityDefinition.specimenRequirement",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ActivityDefinition.observationRequirement","ActivityDefinition.observationRequirement","","","",0,0,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition]]}
","What observations are required to perform this action","Defines observation requirements for the action to be performed, such as body weight or surface area.","","Needed to represent observation definitions.","","","","","","","",,,,,"",,,,"ActivityDefinition.observationRequirement",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ActivityDefinition.observationResultRequirement","ActivityDefinition.observationResultRequirement","","","",0,0,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition]]}
","What observations must be produced by this action","Defines the observations that are expected to be produced by the action.","","","","","","","","","",,,,,"",,,,"ActivityDefinition.observationResultRequirement",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ActivityDefinition.transform","ActivityDefinition.transform","","","",0,0,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureMap]]}
","Transform to apply the template","A reference to a StructureMap resource that defines a transform that can be executed to produce the intent resource using the ActivityDefinition instance as the input.","Note that if both a transform and dynamic values are specified, the dynamic values will be applied to the result of the transform.","","","","","","","","",,,,,"",,,,"ActivityDefinition.transform",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ActivityDefinition.dynamicValue","ActivityDefinition.dynamicValue","","","",0,0,"","","","BackboneElement {[]} {[]}
","Dynamic aspects of the definition","Dynamic values that will be evaluated to produce values for elements of the resulting resource. For example, if the dosage of a medication must be computed based on the patient's weight, a dynamic value would be used to specify an expression that calculated the weight, and the path on the request resource that would contain the result.","Dynamic values are applied in the order in which they are defined in the ActivityDefinition. Note that if both a transform and dynamic values are specified, the dynamic values will be applied to the result of the transform.","","","","","","","","",,,,,"",,,,"ActivityDefinition.dynamicValue",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ActivityDefinition.dynamicValue.id","ActivityDefinition.dynamicValue.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ActivityDefinition.dynamicValue.extension","ActivityDefinition.dynamicValue.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ActivityDefinition.dynamicValue.modifierExtension","ActivityDefinition.dynamicValue.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ActivityDefinition.dynamicValue.path","ActivityDefinition.dynamicValue.path","","","",1,1,"","","","string {[]} {[]}
","The path to the element to be set dynamically","The path to the element to be customized. This is the path on the resource that will hold the result of the calculation defined by the expression. The specified path SHALL be a FHIRPath resolvable on the specified target type of the ActivityDefinition, and SHALL consist only of identifiers, constant indexers, and a restricted subset of functions. The path is allowed to contain qualifiers (.) to traverse sub-elements, as well as indexers ([x]) to traverse multiple-cardinality sub-elements (see the [Simple FHIRPath Profile](http://hl7.org/fhir/R5/fhirpath.html#simple) for full details).","The path attribute contains a [Simple FHIRPath Subset](http://hl7.org/fhir/R5/fhirpath.html#simple) that allows path traversal, but not calculation.","","","","","","","","",,,,,"",,,,"ActivityDefinition.dynamicValue.path",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"ActivityDefinition.dynamicValue.expression","ActivityDefinition.dynamicValue.expression","","","",1,1,"","","","Expression {[]} {[]}
","An expression that provides the dynamic value for the customization","An expression specifying the value of the customized element.","The expression may be inlined, or may be a reference to a named expression within a logic library referenced by the library element.","","","","","","","","",,,,,"",,,,"ActivityDefinition.dynamicValue.expression",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
